Timestamp,Name,CPU_Perc,Mem_Usage,Mem_Perc,Net_IO,Block_IO,PIDs
2026-07-30 11:23:13,docker-recorder-run-de836728b142,214.96%,51.9MiB / 30.66GiB,0.17%,0B / 0B,29.9MB / 225kB,11
2026-07-30 11:23:13,openzen,11.81%,86.75MiB / 30.66GiB,0.28%,0B / 0B,81.6MB / 69.6kB,20
2026-07-30 11:23:13,ouster,71.87%,200.3MiB / 30.66GiB,0.64%,0B / 0B,184MB / 164kB,27
2026-07-30 11:23:13,scovox,166.30%,69.57MiB / 30.66GiB,0.22%,0B / 0B,56.1MB / 246kB,7
2026-07-30 11:23:13,mapir-ffmpeg,71.63%,281.5MiB / 30.66GiB,0.90%,0B / 0B,190MB / 659kB,32
2026-07-30 11:23:13,trav_ros2,113.18%,67.68MiB / 30.66GiB,0.22%,0B / 0B,87.9MB / 152kB,2
2026-07-30 11:23:13,realsense,143.93%,65.4MiB / 30.66GiB,0.21%,0B / 0B,43.2MB / 217kB,5
2026-07-30 11:23:13,nav2,80.36%,200.8MiB / 30.66GiB,0.64%,0B / 0B,127MB / 0B,90
2026-07-30 11:23:13,glim,98.03%,59.25MiB / 30.66GiB,0.19%,0B / 0B,84.7MB / 139kB,2
2026-07-30 11:23:16,docker-recorder-run-de836728b142,0.00%,23.47MiB / 30.66GiB,0.07%,0B / 0B,42.6MB / 365kB,2
2026-07-30 11:23:16,openzen,3.40%,87.26MiB / 30.66GiB,0.28%,0B / 0B,81.6MB / 69.6kB,20
2026-07-30 11:23:16,ouster,0.46%,202MiB / 30.66GiB,0.64%,0B / 0B,184MB / 164kB,27
2026-07-30 11:23:16,scovox,3.62%,108.9MiB / 30.66GiB,0.35%,0B / 0B,78.1MB / 332kB,53
2026-07-30 11:23:16,mapir-ffmpeg,28.25%,333.4MiB / 30.66GiB,1.06%,0B / 0B,200MB / 659kB,33
2026-07-30 11:23:16,trav_ros2,1.24%,287.9MiB / 30.66GiB,0.92%,0B / 0B,125MB / 152kB,44
2026-07-30 11:23:16,realsense,17.29%,174.6MiB / 30.66GiB,0.56%,0B / 0B,107MB / 270kB,33
2026-07-30 11:23:16,nav2,2.31%,208.2MiB / 30.66GiB,0.66%,0B / 0B,127MB / 0B,90
2026-07-30 11:23:16,glim,7.83%,152.7MiB / 30.66GiB,0.49%,0B / 0B,147MB / 139kB,21
2026-07-30 11:23:19,docker-recorder-run-de836728b142,0.00%,23.06MiB / 30.66GiB,0.07%,0B / 0B,42.6MB / 365kB,2
2026-07-30 11:23:19,openzen,4.79%,87.01MiB / 30.66GiB,0.28%,0B / 0B,81.6MB / 69.6kB,20
2026-07-30 11:23:19,ouster,0.06%,200.8MiB / 30.66GiB,0.64%,0B / 0B,184MB / 164kB,27
2026-07-30 11:23:19,scovox,4.25%,106.9MiB / 30.66GiB,0.34%,0B / 0B,78.1MB / 332kB,53
2026-07-30 11:23:19,mapir-ffmpeg,27.46%,332.2MiB / 30.66GiB,1.06%,0B / 0B,200MB / 659kB,33
2026-07-30 11:23:19,trav_ros2,0.79%,286.4MiB / 30.66GiB,0.91%,0B / 0B,125MB / 152kB,44
2026-07-30 11:23:19,realsense,17.48%,174.8MiB / 30.66GiB,0.56%,0B / 0B,107MB / 270kB,33
2026-07-30 11:23:19,nav2,0.99%,207.8MiB / 30.66GiB,0.66%,0B / 0B,127MB / 0B,90
2026-07-30 11:23:19,glim,6.50%,153.3MiB / 30.66GiB,0.49%,0B / 0B,147MB / 139kB,21
2026-07-30 11:23:22,docker-recorder-run-de836728b142,0.00%,23.06MiB / 30.66GiB,0.07%,0B / 0B,42.6MB / 365kB,2
2026-07-30 11:23:22,openzen,4.45%,86.42MiB / 30.66GiB,0.28%,0B / 0B,81.6MB / 69.6kB,20
2026-07-30 11:23:22,ouster,0.40%,200.7MiB / 30.66GiB,0.64%,0B / 0B,184MB / 164kB,27
2026-07-30 11:23:22,scovox,4.11%,106.5MiB / 30.66GiB,0.34%,0B / 0B,78.1MB / 332kB,53
2026-07-30 11:23:22,mapir-ffmpeg,28.57%,333.5MiB / 30.66GiB,1.06%,0B / 0B,200MB / 659kB,33
2026-07-30 11:23:22,trav_ros2,1.46%,284.8MiB / 30.66GiB,0.91%,0B / 0B,125MB / 152kB,44
2026-07-30 11:23:22,realsense,18.09%,175.5MiB / 30.66GiB,0.56%,0B / 0B,107MB / 270kB,33
2026-07-30 11:23:22,nav2,1.78%,205MiB / 30.66GiB,0.65%,0B / 0B,127MB / 0B,90
2026-07-30 11:23:22,glim,7.17%,151.8MiB / 30.66GiB,0.48%,0B / 0B,147MB / 139kB,21
2026-07-30 11:23:25,docker-recorder-run-de836728b142,0.25%,22.88MiB / 30.66GiB,0.07%,0B / 0B,42.7MB / 9.68MB,1
2026-07-30 11:23:25,openzen,6.28%,86.44MiB / 30.66GiB,0.28%,0B / 0B,81.6MB / 2.17MB,20
2026-07-30 11:23:25,ouster,4.39%,232.5MiB / 30.66GiB,0.74%,0B / 0B,184MB / 2.91MB,30
2026-07-30 11:23:25,scovox,4.62%,116.8MiB / 30.66GiB,0.37%,0B / 0B,78.1MB / 3.61MB,53
2026-07-30 11:23:25,mapir-ffmpeg,29.61%,332.3MiB / 30.66GiB,1.06%,0B / 0B,200MB / 1.31MB,33
2026-07-30 11:23:25,trav_ros2,4.29%,317.1MiB / 30.66GiB,1.01%,0B / 0B,125MB / 1.63MB,44
2026-07-30 11:23:25,realsense,37.80%,175MiB / 30.66GiB,0.56%,0B / 0B,107MB / 3.34MB,33
2026-07-30 11:23:25,nav2,1.84%,201.8MiB / 30.66GiB,0.64%,0B / 0B,127MB / 1.16MB,90
2026-07-30 11:23:25,glim,8.10%,152.8MiB / 30.66GiB,0.49%,0B / 0B,147MB / 139kB,21
2026-07-30 11:23:25,foxglove,251.72%,67.54MiB / 30.66GiB,0.22%,0B / 0B,13.9MB / 102kB,7
2026-07-30 11:23:29,foxglove,100.42%,632.3MiB / 30.66GiB,2.01%,0B / 0B,201MB / 258kB,28
2026-07-30 11:23:29,docker-recorder-run-de836728b142,0.00%,22.88MiB / 30.66GiB,0.07%,0B / 0B,42.7MB / 9.68MB,1
2026-07-30 11:23:29,openzen,4.92%,87.04MiB / 30.66GiB,0.28%,0B / 0B,81.6MB / 2.17MB,20
2026-07-30 11:23:29,ouster,14.97%,245.2MiB / 30.66GiB,0.78%,0B / 0B,184MB / 2.91MB,30
2026-07-30 11:23:29,scovox,12.26%,202.1MiB / 30.66GiB,0.64%,0B / 0B,78.3MB / 3.61MB,53
2026-07-30 11:23:29,mapir-ffmpeg,29.14%,333.6MiB / 30.66GiB,1.06%,0B / 0B,200MB / 1.31MB,33
2026-07-30 11:23:29,trav_ros2,111.22%,477.8MiB / 30.66GiB,1.52%,0B / 0B,125MB / 1.63MB,44
2026-07-30 11:23:29,realsense,35.69%,175.1MiB / 30.66GiB,0.56%,0B / 0B,107MB / 3.34MB,33
2026-07-30 11:23:29,nav2,13.17%,217.5MiB / 30.66GiB,0.69%,0B / 0B,128MB / 1.16MB,92
2026-07-30 11:23:29,glim,74.68%,295.8MiB / 30.66GiB,0.94%,0B / 0B,149MB / 11.6MB,37
2026-07-30 11:23:32,foxglove,26.78%,613.5MiB / 30.66GiB,1.95%,0B / 0B,202MB / 258kB,28
2026-07-30 11:23:32,docker-recorder-run-de836728b142,0.00%,22.88MiB / 30.66GiB,0.07%,0B / 0B,42.7MB / 9.68MB,1
2026-07-30 11:23:32,openzen,4.95%,87.31MiB / 30.66GiB,0.28%,0B / 0B,81.6MB / 2.17MB,20
2026-07-30 11:23:32,ouster,10.22%,245.4MiB / 30.66GiB,0.78%,0B / 0B,184MB / 2.91MB,30
2026-07-30 11:23:32,scovox,94.87%,286.9MiB / 30.66GiB,0.91%,0B / 0B,78.3MB / 3.61MB,53
2026-07-30 11:23:32,mapir-ffmpeg,36.00%,333.4MiB / 30.66GiB,1.06%,0B / 0B,200MB / 1.31MB,33
2026-07-30 11:23:32,trav_ros2,111.96%,476.1MiB / 30.66GiB,1.52%,0B / 0B,125MB / 1.63MB,44
2026-07-30 11:23:32,realsense,33.95%,175.4MiB / 30.66GiB,0.56%,0B / 0B,107MB / 3.34MB,33
2026-07-30 11:23:32,nav2,14.40%,218.3MiB / 30.66GiB,0.70%,0B / 0B,128MB / 1.16MB,92
2026-07-30 11:23:32,glim,72.87%,373.1MiB / 30.66GiB,1.19%,0B / 0B,149MB / 11.6MB,37
2026-07-30 11:23:35,foxglove,15.71%,587MiB / 30.66GiB,1.87%,0B / 0B,202MB / 258kB,28
2026-07-30 11:23:35,docker-recorder-run-de836728b142,0.00%,22.88MiB / 30.66GiB,0.07%,0B / 0B,42.7MB / 9.68MB,1
2026-07-30 11:23:35,openzen,5.06%,86.82MiB / 30.66GiB,0.28%,0B / 0B,81.6MB / 2.17MB,20
2026-07-30 11:23:35,ouster,7.93%,245.6MiB / 30.66GiB,0.78%,0B / 0B,184MB / 2.91MB,30
2026-07-30 11:23:35,scovox,63.73%,338.2MiB / 30.66GiB,1.08%,0B / 0B,78.3MB / 3.61MB,53
2026-07-30 11:23:35,mapir-ffmpeg,35.24%,333.6MiB / 30.66GiB,1.06%,0B / 0B,200MB / 1.31MB,33
2026-07-30 11:23:35,trav_ros2,125.22%,479.6MiB / 30.66GiB,1.53%,0B / 0B,125MB / 1.63MB,44
2026-07-30 11:23:35,realsense,21.33%,175.1MiB / 30.66GiB,0.56%,0B / 0B,107MB / 3.34MB,33
2026-07-30 11:23:35,nav2,13.80%,218.4MiB / 30.66GiB,0.70%,0B / 0B,128MB / 1.16MB,92
2026-07-30 11:23:35,glim,70.48%,378.9MiB / 30.66GiB,1.21%,0B / 0B,149MB / 11.6MB,37
2026-07-30 11:23:39,foxglove,20.00%,605.4MiB / 30.66GiB,1.93%,0B / 0B,202MB / 258kB,28
2026-07-30 11:23:39,docker-recorder-run-de836728b142,0.00%,22.88MiB / 30.66GiB,0.07%,0B / 0B,42.7MB / 9.68MB,1
2026-07-30 11:23:39,openzen,5.41%,87.34MiB / 30.66GiB,0.28%,0B / 0B,81.6MB / 2.17MB,20
